;RTLF
0;1
1;1
2;0
3;0
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;0
23;0
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;0
37;0
38;0
39;0
40;1
41;1
42;1
43;1
44;0
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;0
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;0
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;0
103;0
104;0
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;0
119;0
120;1
121;1
122;1
123;1
124;1
125;1
126;0
127;1
128;1
129;0
130;1
131;0
132;1
133;0
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
160;1
161;1
162;0
163;0
164;0
165;1
166;1
167;0
168;1
169;1
170;1
171;1
172;1
173;0
174;1
175;0
176;0
177;1
178;0
179;0
180;1
181;1
182;1
183;1
184;0
185;0
186;1
187;1
188;1
189;1
190;1
191;0
192;0
193;0
194;1
195;0
196;1
197;0
198;1
199;1
200;1
201;0
202;0
203;0
204;1
205;0
206;0
207;0
208;0
209;0
210;1
211;1
212;1
213;1
214;1
215;1
216;1
217;1
218;1
219;1
220;1
221;0
222;1
223;0
224;0
225;1
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;0
242;0
243;1
244;1
245;1
246;0
247;0
248;0
249;0
250;1
251;0
252;1
253;1
254;1
255;1
256;1
257;0
258;1
259;1
260;1
261;1
262;1
263;1
264;1
265;1
266;0
267;1
268;1
269;1
270;1
271;0
272;0
273;1
274;1
275;1
276;0
277;1
278;0
279;1
280;1
281;1
282;1
283;1
284;1
285;1
286;1
287;1
288;1
289;1
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;0
299;0
300;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
308;1
309;0
310;1
311;0
312;1
313;1
314;1
315;1
316;1
317;1
318;0
319;0
320;0
321;1
322;1
323;1
324;1
325;1
326;1
327;1
328;1
329;1
330;1
331;1
332;0
333;1
334;1
335;0
336;1
337;1
338;1
339;0
340;1
341;1
342;1
343;1
344;1
345;0
346;0
347;0
348;1
349;1
350;1
351;0
352;0
353;0
354;0
355;1
356;1
357;1
358;1
359;1
360;1
361;1
362;1
363;1
364;1
365;1
366;1
367;1
368;1
369;1
370;1
371;1
372;1
373;1
374;1
375;0
376;0
377;0
378;1
379;1
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;1
388;1
389;1
390;1
391;1
392;1
393;0
394;1
395;0
396;1
397;0
398;0
399;0
400;1
401;1
402;1
403;1
404;1
405;1
406;1
407;0
408;1
409;1
410;1
411;1
412;0
413;0
414;1
415;1
416;1
417;1
418;0
419;1
420;1
421;1
422;0
423;1
424;1
425;1
426;1
427;1
428;1
429;1
430;1
431;0
432;1
433;1
434;1
435;1
436;1
437;1
438;0
439;0
440;0
441;1
442;1
443;1
444;1
445;1
446;1
447;1
448;1
449;1
450;0
451;0
452;0
453;1
454;1
455;1
456;0
457;1
458;1
459;1
460;1
461;1
462;1
463;1
464;1
465;1
466;0
467;0
468;1
469;1
470;1
471;1
472;0
473;0
474;1
475;1
476;1
477;1
478;1
479;1
480;1
481;0
482;0
483;1
484;1
485;0
486;1
487;1
488;1
489;1
490;1
491;1
492;0
493;0
494;0
495;1
496;1
497;1
498;1
499;1
500;1
501;1
502;1
503;1
504;1
505;1
506;1
507;0
508;0
509;1
510;1
511;1
512;1
513;1
514;1
515;1
516;1
517;1
518;1
519;1
520;1
521;1
522;1
523;1
524;1
525;1
526;1
527;1
528;1
529;1
530;1
531;1
532;1
533;1
534;1
535;0
536;0
537;1
538;1
539;1
540;1
541;1
542;1
543;1
544;1
545;1
546;1
547;1
548;1
549;1
550;1
551;1
552;1
553;0
554;0
555;1
556;1
557;1
558;1
559;1
560;1
561;1
562;1
563;1
564;1
565;1
566;1
567;1
568;1
569;1
570;1
571;1
572;1
573;1
574;1
575;1
576;0
577;1
578;1
579;1
580;1
581;0
582;1
583;1
584;1
585;0
586;0
587;0
588;1
589;1
590;1
591;1
592;1
593;1
594;1
595;1
596;1
597;1
598;1
599;1
600;0
601;1
602;0
603;1
604;1
605;1
606;0
607;0
608;0
609;1
610;1
611;1
612;0
613;1
614;0
615;1
616;0
617;0
618;0
619;1
620;0
621;0
622;0
623;0
624;1
625;1
626;1
627;1
628;1
629;1
630;1
631;1
632;1
633;1
634;1
635;1
636;1
637;1
638;1
639;1
640;1
641;1
642;0
643;1
644;1
645;1
646;1
647;1
648;1
649;1
650;1
651;1
652;0
653;1
654;1
655;0
656;1
657;0
658;1
659;1
660;1
661;1
662;1
663;1
664;1
665;1
666;1
667;1
668;1
669;1
670;1
671;0
672;1
673;1
674;1
675;0
676;0
677;0
678;0
679;0
680;0
681;0
682;0
683;0
684;0
685;0
686;0
687;0
688;0
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;0
702;0
703;0
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0
729;0
730;0
731;0
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
